log2FoldChange	pvalue	padj	baseMean
ENSG00000187608.8|mRNA|ISG15|ENSG00000187608.8|ENSG00000187608.8|0|942	0.53804597181343	0.240479888858615	0.791135965589499	40.4359536180375
ENSG00000175756.13|mRNA|AURKAIP1|ENSG00000175756.13|ENSG00000175756.13|0|1669	0.231521204065278	0.27050082337281	0.8106522841885	49.8951187700815
ENSG00000242485.5|mRNA|MRPL20|ENSG00000242485.5|ENSG00000242485.5|0|2788	0.0520078459352344	0.934223236033002	0.999007688475664	50.9565748661172
ENSG00000160075.11|mRNA|SSU72|ENSG00000160075.11|ENSG00000160075.11|0|6925	0.0206122391893047	0.85960814898831	0.995711322203305	153.977576087501
ENSG00000248333.8|mRNA|CDK11B|ENSG00000248333.8|ENSG00000248333.8|0|3488	-0.0124917430938494	0.971784473836121	0.999326963430803	127.299501385186
ENSG00000008128.22|mRNA|CDK11A|ENSG00000008128.22|ENSG00000008128.22|0|4701	-0.0830756493653562	0.302928557016097	0.844980143680689	85.5548325640486
ENSG00000268575.1|lncRNA|AL031282.2|ENSG00000268575.1|ENSG00000268575.1|0|5079	-0.0754386982896813	0.471087772266188	0.92706181593684	91.1792968629488
ENSG00000008130.15|mRNA|NADK|ENSG00000008130.15|ENSG00000008130.15|0|5570	0.132060464356059	0.732295750544863	0.987464366908432	114.638544974138
ENSG00000078369.17|mRNA|GNB1|ENSG00000078369.17|ENSG00000078369.17|0|6417	0.0177799075138569	0.41466347799495	0.904073840552252	670.015031940358
ENSG00000157933.9|mRNA|SKI|ENSG00000157933.9|ENSG00000157933.9|0|6080	-0.00757442969034461	0.697046609842373	0.986536942211476	81.4749672363125
ENSG00000158109.14|mRNA|TPRG1L|ENSG00000158109.14|ENSG00000158109.14|0|2414	-0.035244500005609	0.662424289756309	0.982813631145188	37.9803449742442
ENSG00000235169.7|mRNA|SMIM1|ENSG00000235169.7|ENSG00000235169.7|0|954	-0.319518152350152	0.0834988981527279	0.564653896373234	9.62831515364748
ENSG00000069424.14|mRNA|KCNAB2|ENSG00000069424.14|ENSG00000069424.14|0|9534	0.112404035087483	0.579015101701662	0.961551639139393	105.044378847149
ENSG00000116251.9|mRNA|RPL22|ENSG00000116251.9|ENSG00000116251.9|0|4900	-0.181354380557998	0.0378568504512065	0.458853901337611	1181.38865906474
ENSG00000049245.12|mRNA|VAMP3|ENSG00000049245.12|ENSG00000049245.12|0|2760	-0.10967651686472	0.260227718100611	0.806480376627083	130.460049753182
ENSG00000049247.13|mRNA|UTS2|ENSG00000049247.13|ENSG00000049247.13|0|1791	NA	0.876609454266054	0.997592408482551	14.0445448928843
ENSG00000116288.12|mRNA|PARK7|ENSG00000116288.12|ENSG00000116288.12|0|2397	0.0886276592152413	0.456607005163088	0.922078600966477	232.660114577887
ENSG00000142599.17|mRNA|RERE|ENSG00000142599.17|ENSG00000142599.17|0|11503	-0.118005800041368	0.15720264397577	0.716618586601894	201.216275559041
ENSG00000074800.13|mRNA|ENO1|ENSG00000074800.13|ENSG00000074800.13|0|3958	0.342682541540924	0.0151456761451763	0.326975144251145	434.057074934248
ENSG00000171608.15|mRNA|PIK3CD|ENSG00000171608.15|ENSG00000171608.15|0|6332	-0.353681017423103	0.164413646719586	0.724103520310047	164.45232552979
ENSG00000162441.11|mRNA|LZIC|ENSG00000162441.11|ENSG00000162441.11|0|2794	-0.227992892158764	0.164413646719586	0.724103520310047	112.750881534257
ENSG00000162444.11|mRNA|RBP7|ENSG00000162444.11|ENSG00000162444.11|0|861	-0.0263068389217525	0.41466347799495	0.904073840552252	42.8607413238739
ENSG00000142657.20|mRNA|PGD|ENSG00000142657.20|ENSG00000142657.20|0|2966	0.195034339275907	0.0674153059265228	0.537162904186124	332.554451582955
ENSG00000120948.16|mRNA|TARDBP|ENSG00000120948.16|ENSG00000120948.16|0|6071	0.0477866497118651	0.915490944793993	0.999007688475664	105.795050241299
ENSG00000277726.4|mRNA|AL109811.4|ENSG00000277726.4|ENSG00000277726.4|0|2205	0.0438872484588089	0.971784473836121	0.999326963430803	79.4624624433867
ENSG00000116649.9|mRNA|SRM|ENSG00000116649.9|ENSG00000116649.9|0|1898	0.32099720526051	0.349928483610998	0.874974149798303	48.0973181474976
ENSG00000171824.13|mRNA|EXOSC10|ENSG00000171824.13|ENSG00000171824.13|0|6003	0.084795944918767	0.732295750544863	0.987464366908432	91.4908085351137
ENSG00000199347.1|snRNA|RNU5E-1|ENSG00000199347.1|ENSG00000199347.1|0|120	NA	0.93167318708629	0.999007688475664	1.86737247240353
ENSG00000201801.1|snRNA|RNU5E-4P|ENSG00000201801.1|ENSG00000201801.1|0|120	NA	0.288435629917333	0.833172343401648	0.443504871912206
ENSG00000116688.16|mRNA|MFN2|ENSG00000116688.16|ENSG00000116688.16|0|4973	0.214039824007352	0.195689987784024	0.752886630875856	223.672063478739
ENSG00000028137.18|mRNA|TNFRSF1B|ENSG00000028137.18|ENSG00000028137.18|0|3766	-0.434659185271112	0.0259786994311986	0.393185554089648	54.2294580314579
ENSG00000116731.22|mRNA|PRDM2|ENSG00000116731.22|ENSG00000116731.22|0|10923	-0.247435418909705	0.0974383545360662	0.59683600246342	182.176288403891
ENSG00000142634.12|mRNA|EFHD2|ENSG00000142634.12|ENSG00000142634.12|0|2531	0.158722342773315	0.562928959157533	0.959629492056093	442.590684983895
ENSG00000215695.1|mRNA|RSC1A1|ENSG00000215695.1|ENSG00000215695.1|0|1854	0.0420255479558937	0.841118251226527	0.995456664308433	35.8794524069114
ENSG00000116786.11|mRNA|PLEKHM2|ENSG00000116786.11|ENSG00000116786.11|0|4122	0.199276193772527	0.362347824805928	0.880625278553404	70.4775983871583
ENSG00000065526.10|mRNA|SPEN|ENSG00000065526.10|ENSG00000065526.10|0|13294	0.161409569664999	0.375032792865867	0.888799754757922	254.514231781119
ENSG00000055070.16|mRNA|SZRD1|ENSG00000055070.16|ENSG00000055070.16|0|4747	0.136097715010495	0.250221158320467	0.798391102482652	156.266802740945
ENSG00000157191.19|mRNA|NECAP2|ENSG00000157191.19|ENSG00000157191.19|0|5559	-0.0697549075831319	0.628491941058299	0.980262375898181	98.6342073381999
