log2FoldChange	logCPM	pvalue	padj	baseMean
ENSG00000187608.8|mRNA|ISG15|ENSG00000187608.8|ENSG00000187608.8|0|942	0.071039057171109	5.0349190417503	0.768408539593062	0.911857551340367	32.7839785802612
ENSG00000175756.13|mRNA|AURKAIP1|ENSG00000175756.13|ENSG00000175756.13|0|1669	-0.249834206976239	5.4711078350792	0.0981327445164528	0.3722927263784	44.3575517478879
ENSG00000242485.5|mRNA|MRPL20|ENSG00000242485.5|ENSG00000242485.5|0|2788	-0.233000119306202	5.54583224722567	0.118620469359397	0.414047266183379	46.71559205929
ENSG00000160075.11|mRNA|SSU72|ENSG00000160075.11|ENSG00000160075.11|0|6925	-0.176136297031458	7.17706036728913	0.0745281483763626	0.318230037587685	144.713967792055
ENSG00000248333.8|mRNA|CDK11B|ENSG00000248333.8|ENSG00000248333.8|0|3488	-0.152796493910874	6.91997094558488	0.227148359422963	0.565991186523855	121.092940067305
ENSG00000008128.22|mRNA|CDK11A|ENSG00000008128.22|ENSG00000008128.22|0|4701	0.0412508046010899	6.43461723687903	0.761699377103985	0.911077176753481	86.4993410271109
ENSG00000268575.1|lncRNA|AL031282.2|ENSG00000268575.1|ENSG00000268575.1|0|5079	0.0467314513188076	6.52519028721407	0.714796481474216	0.886968033225494	92.1038965514433
ENSG00000008130.15|mRNA|NADK|ENSG00000008130.15|ENSG00000008130.15|0|5570	0.0471294215207441	6.76861100628917	0.744977328133563	0.902453913601967	109.032241854084
ENSG00000078369.17|mRNA|GNB1|ENSG00000078369.17|ENSG00000078369.17|0|6417	0.1155762946736	9.41657332085561	0.206850273151052	0.542590744015207	683.393786696141
ENSG00000157933.9|mRNA|SKI|ENSG00000157933.9|ENSG00000157933.9|0|6080	-0.0447493719557496	6.34775869273393	0.731921405686915	0.89664290405457	81.4452520672767
ENSG00000158109.14|mRNA|TPRG1L|ENSG00000158109.14|ENSG00000158109.14|0|2414	0.119390669354269	5.2953225282347	0.412099559688698	0.70825888611737	39.2690972720685
ENSG00000235169.7|mRNA|SMIM1|ENSG00000235169.7|ENSG00000235169.7|0|954	0.515631480521031	3.53016160288133	0.113550474294441	0.404489665664791	11.5527275656493
ENSG00000069424.14|mRNA|KCNAB2|ENSG00000069424.14|ENSG00000069424.14|0|9534	0.137856455735354	6.66394965932085	0.213569251042464	0.549630987500647	101.402517447939
ENSG00000116251.9|mRNA|RPL22|ENSG00000116251.9|ENSG00000116251.9|0|4900	-0.38975395081748	10.1213221860128	0.014167029108694	0.118485184533551	1113.83682909427
